gene_id	n_tissues_used	corr_domFrac_vs_logExpr	corr_entropy_vs_logExpr	median_gene_tpm	dominant_isoform_switch_range	isoform_entropy_range	n_isoforms
ENSG00000005339	54	-0.48098456451151633	0.5885375495396016	13.267499985	0.4834669338677354	0.9980206475831781	13
ENSG00000005379	53	0.1344143593866207	0.1217932315839705	22.00999999999999	0.20451538153729376	0.3504282379073991	5
ENSG00000005381	5	-0.5309200745029989	0.5309200745029988	3.375	0.00592592592592589	0.036298959978933454	4
ENSG00000005436	53	-0.3084837600695496	0.6033980659022232	9.645000000000001	0.268449807175412	0.5022627191061253	9
ENSG00000005448	52	-0.34945840333214234	0.5127741997385523	7.305	0.20492610837438419	0.701383296825976	4
ENSG00000005469	53	0.4697046963012338	-0.4146444830502779	6.220000000000001	0.30576046060882445	0.37200783419882033	4
ENSG00000005471	6	0.5214224186361264	-0.6078734745957148	2.0349999850000002	0.3341605429581102	0.48812255946041905	5
ENSG00000005483	54	0.17559605849271145	-0.09390130605802989	20.065000000000005	0.2124915756581387	0.4844549283911084	14
ENSG00000005486	54	0.22546139405590682	-0.45638668160626755	47.43	0.42790419021664833	0.6166092378305977	9
ENSG00000005513	31			3.5499999999999994	0.0	0.0	1
ENSG00000005700	53	-0.5227154874591285	0.5238590572208847	5.675000299999999	0.020646627325199285	0.06970086914167867	6
ENSG00000005801	53	-0.3170032038150005	0.4016373404780205	7.300000000000001	0.4662845774152419	1.3892807410670636	26
ENSG00000005810	54	-0.2969791737672625	0.2906473060732553	19.795	0.34544659481024653	0.4250313204397631	5
ENSG00000005812	54	0.36911045503849077	-0.2971598550821616	17.872499995000002	0.1481351781471829	0.44752373958978175	6
ENSG00000005844	28	-0.509382284302823	0.7396164651024911	2.3049999999999997	0.1433781371797026	0.5403251735707565	12
ENSG00000005882	54	0.30174527863120526	0.03581925625728449	25.46	0.5076282321177663	0.8862323377446045	9
ENSG00000005884	52	0.5314489640584363	-0.4011147429320554	15.725000000000001	0.3072553153625678	0.7005137550811273	7
ENSG00000005889	54	-0.7446344677128773	0.8214268185026865	6.00499995	0.3570032799353043	0.8109179686102412	11
ENSG00000005893	54	0.09240330710512555	-0.19653703190605729	40.544999999999995	0.4076758163959996	0.5488598311128237	4
ENSG00000005961	14			2.115	0.0	0.0	2
ENSG00000005981	7	-0.9413733290627553	0.8769626553743897	1.92	0.2613855970829536	0.5644245248644953	3
ENSG00000006007	54	-0.32291691545923457	0.3300006501541489	24.240000000000002	0.18026673615704825	0.38628477760076624	4
ENSG00000006015	54	-0.03912497499041801	-0.09213239821185752	37.125	0.26362479424660057	0.35296074009638734	4
ENSG00000006016	53	0.33202171159405125	-0.2564187882273281	7.6049999999999995	0.6011616361004439	1.1261618984694353	4
ENSG00000006025	53	-0.0999691730808196	0.17301309574836218	6.400000000000001	0.18803930117721024	0.5778508002884619	4
ENSG00000006042	52	-0.4225740673005832	0.5092670166328371	28.560000000000002	0.24253430267016318	0.383854441585026	7
ENSG00000006047	21	0.12051134827858184	0.017166796127346687	1.69	0.37593984962406024	0.6620414536447162	3
ENSG00000006062	52	0.32601697936492113	-0.24130323681771845	5.77	0.07191780821917804	0.30159794510741694	3
ENSG00000006071	28	-0.01848632792231393	0.4633688649967797	7.23	0.3028259830142165	0.5430135176774262	8
ENSG00000006116	12			13.620000000000003	0.0	0.0	1
ENSG00000006118	52	-0.0859944894894937	0.09687078037183403	8.43249995	0.20328131252501003	0.38774983018297027	11
ENSG00000006125	54	0.005774011675849675	0.05248548921579154	42.595	0.35893546258386866	1.1691034088222165	22
ENSG00000006128	24	-0.46476976047092833	0.5452371976995896	6.2575	0.388020491982348	0.5566154245414949	3
ENSG00000006194	54	-0.503141122375179	0.5222053014356306	13.292499999999999	0.33654969811075763	0.6081803148676501	7
ENSG00000006210	51	-0.6577149014680473	0.702832266101531	18.93	0.030813600485731563	0.1666792911117008	4
ENSG00000006282	54	0.4395710480243433	-0.36518777234565775	20.462500000000006	0.5239323046291688	0.721031794045524	13
ENSG00000006283	15	0.25719749045530765	0.016011919093974137	3.6900000099999994	0.2882705610123292	0.605409196141511	34
ENSG00000006327	47	-0.3029097683341629	0.42629293125948814	12.505	0.23071161048689137	0.7826667681339347	6
ENSG00000006377	10	0.1378394343757927	-0.0712328120422699	1.8625	0.2764515825465039	0.6872289898809293	3
ENSG00000006432	13	-0.19463245899348192	0.1483699863331314	1.3799999999999997	0.578125	1.2861660618618451	5
ENSG00000006451	54	-0.1880022696992455	0.26262594799595185	14.462499999999999	0.3814492753623189	1.0710575723476417	5
ENSG00000006453	38	-0.1037953498377958	0.10849614989702015	6.127500000000001	0.08201438848920872	0.3276981616583212	3
ENSG00000006459	53	-0.00556966323745975	0.03303050667294047	5.4399999999999995	0.367003367003367	0.3011034406359198	2
ENSG00000006468	40	-0.08633479021926713	0.40060310698072654	3.6550000000000002	0.3965101625697419	1.1057515469045185	17
ENSG00000006530	50	-0.4992202281711896	0.5425006003144428	2.95	0.470712773465067	0.9228698343383711	7
ENSG00000006534	50	0.11023717253256611	0.10155335602353897	5.585000000000001	0.1473848881472597	0.5453982101420545	8
ENSG00000006555	23	0.29877161227275156	-0.25973644466146234	4.55	0.17678684951412216	0.40969128671305977	3
ENSG00000006576	53	-0.2739236911187406	0.4891553691078134	5.05	0.450450209025619	0.8817046525514044	10
ENSG00000006606	19	-0.36195457105827494	0.34200892408304984	1.82	0.1727966689798751	0.46029309177247957	2
ENSG00000006607	53	0.05715647526762287	0.5602307516978033	8.939999999999998	0.2791687129812611	0.6779329449021967	16
ENSG00000006611	19	0.7474076644864573	-0.23769140610539524	7.065000000000001	0.42975490508122477	0.664333444056358	8
ENSG00000006625	54	0.11041922807172318	0.5063851754935418	23.529999515	0.23515032264162294	0.32900225909907177	8
ENSG00000006634	46	-0.1868748776614694	0.15919785330907588	2.7275	0.21277262524880358	0.4257703543183592	4
ENSG00000006638	31	0.01818865565427481	0.03837321462873192	2.76	0.3461857177372266	0.7553023154700327	4
ENSG00000006652	54	-0.3156020674178244	0.3843827598838467	20.494999999999997	0.18981467377506978	0.7813448692773447	14
ENSG00000006695	54	0.2659002993300848	-0.2840833926842179	6.2925	0.31471763149989873	0.5392075314966935	5
ENSG00000006704	53	0.2565847916925676	0.3660348375917661	6.975000199999999	0.25504874651810583	0.29772409088712837	6
ENSG00000006712	54	-0.13570543173778413	0.1789304073276436	35.15	0.07441907178451912	0.23897129153282598	4
ENSG00000006715	54	-0.447353202340094	0.44625309573063543	13.094999999999999	0.5553415265651066	0.9428620326149848	11
ENSG00000006740	48	-0.033658001888438475	0.5581839493696283	4.865	0.5727776704252541	0.8948377515854146	8
ENSG00000006744	54	0.3637594015233582	0.3902959402976613	17.842500004999998	0.27341345753971563	0.27794086351561187	13
ENSG00000006747	26	0.1476233596281261	0.13760291504678895	2.675	0.3498435722411831	0.8129331909217397	9
ENSG00000006756	52	-0.5112143598233615	0.5721737872162158	6.874999999999999	0.16520577053970154	0.5792909209081253	6
ENSG00000006757	54	0.16566513360909005	-0.10362899725385084	9.0875	0.48301433236574737	0.8843311707040832	4
ENSG00000006831	54	-0.42981273206199083	0.45061987305742723	25.285	0.04685059864653818	0.23562353569650385	7
ENSG00000006837	44	-0.6483418220111474	0.693367436920163	2.8149999999999995	0.6062106485726511	1.2860167719998439	10
