gene_id	n_tissues_used	n_isoforms	dominant_isoform_switch_range	isoform_entropy_range	log1p_gene_expr_range	median_gene_tpm
ENSG00000008517	54	30	0.35725943027221874	1.6109930819586133	4.855555293695479	14.340000055
ENSG00000008710	53	19	0.18510334752969432	0.49267722683894766	4.23468908894333	22.82
ENSG00000008735	32	1	0.0	0.0	3.9331573175021197	7.03
ENSG00000008838	54	23	0.19095005002601423	0.4454902560670555	2.682004419635392	36.77499995
ENSG00000008853	52	6	0.28399903802385773	0.5472337454350933	2.737409499913657	8.03
ENSG00000008869	54	2	0.021321961620468954	0.1031403007527868	1.8210599461758377	6.60250015
ENSG00000008952	54	7	0.24630680910402503	0.3592828480521497	1.979819854644262	45.96249949
ENSG00000008988	54	10	0.1244145259376006	0.4805519338341346	2.609648515498238	1321.7875000499998
ENSG00000009307	54	15	0.47902539555063595	0.7885048222113538	2.7689934861981698	137.08750009
ENSG00000009335	54	3	0.002629848783694877	0.01824986943368346	2.397592135947947	15.317499999999999
ENSG00000009413	53	7	0.3342716387533732	1.0462956803466528	2.4051022565823637	7.535
ENSG00000009694	15	3	0.4089887640449439	0.6764883776460721	2.307572634505085	2.04
ENSG00000009724	39	2	0.14998047855429752	0.42267522438973837	4.476726872403792	2.125
ENSG00000009780	53	7	0.666733557254972	1.3163202320508391	2.102025133371662	6.05
ENSG00000009790	27	13	0.26558837318330986	0.6667446244067843	3.491432643556583	1.9199999700000001
ENSG00000009830	53	14	0.46299322650024216	1.2500327645832827	3.0114466625539213	5.29
ENSG00000009844	54	5	0.19061545239393352	0.25571067029074446	2.16868257409572	14.869999839999998
ENSG00000009950	45	8	0.17676142639647618	0.27302294443251385	4.855508896204672	6.77999999
ENSG00000009954	54	2	0.15465624746943074	0.17060538652784052	2.4442960823456645	16.39
ENSG00000010017	54	2	0.22490911362549015	0.3978997134689033	2.4897120410629388	21.442500000000003
ENSG00000010030	15	8	0.3410292227774365	0.739915056035197	1.6963687708842932	2.5300000000000002
ENSG00000010072	52	6	0.24298128815321252	0.6069086228749307	1.6180586554780074	2.8475
ENSG00000010165	54	7	0.31617056456982173	0.44541136489229727	2.1841073716549837	11.3174999
ENSG00000010219	50	9	0.32948479925736834	0.9980292424769446	3.3678916507471737	2.0525
ENSG00000010244	54	12	0.3161752489526614	0.6123600755613774	1.8074836011813566	57.37
ENSG00000010256	54	4	0.0961247948050063	0.2295980880423215	2.1602413828054323	78.405001
ENSG00000010270	54	6	0.44614660227901815	0.7530244611485315	2.169363462414479	20.73
ENSG00000010278	54	9	0.11661558376956482	0.39067582541139356	4.5726239232455255	163.14499999999998
ENSG00000010282	19	8	0.43965517241379315	1.0199300301900251	4.235849482849071	25.03
ENSG00000010292	54	12	0.19410227604087793	0.37042839647484893	2.949192390365326	9.02
ENSG00000010295	53	6	0.45978521925757465	0.7483646878996574	2.299750891758171	5.13
ENSG00000010310	27	6	0.30254939985811335	0.5550006278093649	2.181932144293534	3.4450002
ENSG00000010318	53	7	0.4330765131228329	0.8999492747107377	6.4238686282406965	3.14999991
ENSG00000010319	49	3	0.12949802417114764	0.30973029067717883	3.5503180103640526	5.36500004
ENSG00000010322	54	8	0.2672124568875134	0.45920914820119796	3.2357131440708127	55.325
ENSG00000010327	52	2	0.18779328779328774	0.19444032539967726	4.275127616365045	33.8725005
ENSG00000010361	54	16	0.30281990845118534	0.7898296812046515	3.305010040012653	13.41
ENSG00000010379	20	8	0.4614438633437448	0.8882082765542596	3.1192911194387642	4.529999999999999
ENSG00000010404	54	8	0.48671086982847883	1.2764377613143296	3.653349651392991	46.25
